id_new,pscore_new,sTested_new,sActive_new,aTested_new,aActive_new,wTested_new,wActive_new,id_old,pscore_old,sTested_old,sActive_old,aTested_old,aActive_old,wTested_old,wActive_old,smiles
42504,500,2,2,557,121,922,174,42504,322,2,2,299,54,551,84,"n1cnc([nH]1)Sc1ccc2c(c1)cccc2"
83034,496,8,8,656,159,5425,315,83034,363,8,8,365,76,2968,150,"N=c1scc([nH]1)c1cccs1"
95207,2165,35,35,708,270,15349,1839,95207,1477,35,30,417,131,7110,818,"O=C1C=CC(=NS(=O)(=O)c2ccccc2)c2c1cccc2"
1342,477,330,290,815,473,195397,3278,1342,351,330,251,523,262,102977,1607,"O=c1[nH]c(=O)c2c3c1cccc3ccc2"
1644,426,64,63,814,236,34407,964,1644,433,64,59,522,133,17647,580,"C1Nc2cccc3c2c(N1)ccc3"
3261,420,179,175,713,308,88376,1695,3261,415,179,140,421,175,36611,883,"C1C=NN(C1)c1ccccc1"
816,378,122,111,814,302,74323,1520,816,375,122,98,522,177,40658,968,"c1ccc2c(c1)n[nH]n2"
81170,410,4,4,680,120,2886,251,81170,310,4,4,397,61,1689,127,"c1ccc(cc1)N1NCCC21c1ccccc1c1c2cccc1"
24531,316,34,34,809,189,22620,600,24531,431,34,34,518,119,11989,419,"C1Oc2c(O1)cc1c(c2)scn1"
92633,715,115,108,805,353,62254,1991,92633,615,115,97,513,192,31329,1067,"O=C1C=Cc2c(C1=C)cccc2"
93560,311,15,15,706,140,8915,329,93560,332,15,15,415,79,4516,185,"O=C1C=CC(=CNNc2nccs2)C=C1"
4029,386,310,281,806,414,183389,2743,4029,326,310,240,514,232,95211,1519,"C=C1C=Nc2c1cccc2"
24971,485,33,33,711,184,17962,707,24971,382,33,32,419,94,9339,339,"S=C1NC(=O)C(=Cc2ccco2)C(=O)N1"
322,374,20309,16245,815,765,11524451,102114,322,343,20309,12879,523,478,6012658,59628,"c1cccs1"
35604,312,10,10,651,120,6103,278,35604,346,10,10,360,64,3076,167,"S=C1NC(=O)C(=Cc2ccn(c2)c2ccccc2)S1"
93090,472,12,12,789,169,6780,353,93090,453,12,12,498,96,3950,210,"C=C1C=Cc2c(C1=O)cccc2"
97282,320,22,21,709,164,12227,391,97282,314,22,20,418,97,6704,217,"c1ccc(cc1)NN=Cc1cnn(c1)c1ccccc1"
97429,483,6,6,688,118,3859,339,97429,304,6,6,397,59,2093,135,"C=c1ccccn1C(=C)C(=O)c1ccccc1"
1129,1817,9,9,654,221,4039,631,1129,1601,9,9,363,110,1789,295,"O=c1ccc2c(c1)oc1c(c2c2ccccc2)cccc1"
1130,2168,12,12,687,247,5242,822,1130,1936,12,12,396,126,2384,391,"O=c1ccc2c(c1)oc1c(c2)cccc1"
90209,549,9,9,708,158,5474,360,90209,506,9,9,418,88,3053,194,"c1ccc(cc1)C=Cn1cncn1"
1005,516,1082,979,815,596,673122,9345,1005,435,1082,863,523,352,367370,5012,"c1ccc(cc1)n1cccc1"
107,403,1334,1176,815,585,773366,8773,107,331,1334,1002,523,345,415354,4667,"c1ccc2c(c1)ncnc2"
158,841,1076,1045,815,607,645831,13380,158,721,1076,943,523,345,327524,6866,"C=C1C=CC(=O)C=C1"
3076,519,350,332,815,471,215703,3665,3076,385,350,290,523,261,112456,1776,"C=C1SC=NC1=O"
24316,499,13,13,711,130,8003,527,24316,446,13,13,419,72,4634,285,"O=C1c2ccccc2C(=O)c2c1occ2"
